State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty
Congressional District 10 (115th Congress),GA,36.4,68.9,25.3,0.1,2.1,0.1,1.4,2.1,63.5,85.7,25.1,10.3,42.6,14.6,17.8
Congressional District 11 (115th Congress),GA,36.9,73.8,16.4,0.3,3.5,0,3.5,2.4,72.8,90.2,40.3,13.9,52,28.3,10.8
Congressional District 12 (115th Congress),GA,35.9,58.7,35.1,0.3,1.7,0.1,2.1,2.1,59,83.5,20.8,8.2,50.5,30.3,22.1
Congressional District 13 (115th Congress),GA,36.1,32.1,59,0.1,2.6,0,3.9,2.3,68.4,88.3,28.2,10.5,53.5,26.1,16.1
Congressional District 14 (115th Congress),GA,37.8,85.4,8.9,0.3,1.1,0,2.5,1.8,66.7,79.9,17.4,6.4,57,21.7,15.8
Hawaii,,39.2,25.1,1.8,0.2,38,10,1,23.8,71.9,91.6,32,10.8,58.4,22.3,10.3
Congressional District 1 (115th Congress),HI,39.7,18,2.1,0.1,50.2,7.9,0.9,20.8,74.2,90.8,35.1,12,55.5,21,8.7
Congressional District 2 (115th Congress),HI,38.6,32.3,1.6,0.3,25.9,12.2,1.1,26.8,69.6,92.5,28.8,9.6,49.4,22.9,12
Idaho,,36.3,91,0.7,1.3,1.4,0.1,2.9,2.6,69.4,90.2,26.8,8.5,31.7,27.3,14.5
Congressional District 1 (115th Congress),ID,38.2,91.5,0.5,1.3,1.2,0.1,2.6,2.7,67.8,90.6,25.1,7.8,36.6,26.1,14
Congressional District 2 (115th Congress),ID,34.2,90.4,0.8,1.2,1.5,0.1,3.2,2.6,71.1,89.8,28.6,9.4,50.9,26.1,15
Illinois,,38,71.9,14.3,0.2,5.2,0,6,2.4,70.1,88.6,33.4,13,43.2,14.9,13.5
Congressional District 1 (115th Congress),IL,38.7,40.8,51.1,0.2,1.9,0,3.8,2.1,62.9,88.8,27.7,11.2,40.9,19.3,18.9
Congressional District 2 (115th Congress),IL,37.9,37.1,56.8,0.2,0.7,0,3.4,1.7,61.1,87.6,22.5,8.4,58,21.5,20.3
Congressional District 3 (115th Congress),IL,37.7,75.3,4.8,0.3,4.3,0,13.2,2.1,69.2,85.4,27.3,10,28.9,19.8,11.1
Congressional District 4 (115th Congress),IL,33.7,58.7,4.2,0.5,3.6,0,30.4,2.6,69,70.9,23,7.5,58.6,18.2,19.6
Congressional District 5 (115th Congress),IL,35.6,81.4,2.9,0.3,7.1,0,5.2,3.2,78.7,91.5,53.4,20.9,42.7,25.1,9.3
Congressional District 6 (115th Congress),IL,40.4,83.5,2.6,0.2,9.1,0,2.3,2.2,75.5,94.6,51.5,20.4,61.1,25.6,5.3
Congressional District 7 (115th Congress),IL,34.6,35.6,48.4,0.1,7,0,6.5,2.2,63.7,85.6,40.8,19,55.1,21.4,23.5
