,State and District,CDID,Median Age,White,Black,AI/AN,Asian,PI,Other,Two Plus,Emp-LF Ratio,High School,Bachelor,Advanced,% households w/ married couples,% households w/ seniors,% poverty,district_x,colid,year,state,state_po,state_fips,state_cen,state_ic,office,district_y,stage,runoff,special,candidate,party,writein,mode,candidatevotes,totalvotes,unofficial,version,fusion_ticket,percent votes,party_democrat,party_republican,inc_democrat,inc_republican,winner
34,Congressional District 1 (115th Congress),AR,0.41697416974169754,0.7726161369193154,0.26564885496183205,0.012931034482758622,0.5,0.00819672131147541,0.017429193899782137,0.05,0.37037037037037024,0.6988235294117646,0.12225705329153608,0.10491803278688526,48.6,0.31250000000000006,0.463126843657817,1,AR1,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,CHINTAN DESAI,DEMOCRAT,False,TOTAL,57907,201245,False,20220331,False,0.28774379487689133,1,0,0,1,0
35,Congressional District 1 (115th Congress),AR,0.41697416974169754,0.7726161369193154,0.26564885496183205,0.012931034482758622,0.5,0.00819672131147541,0.017429193899782137,0.05,0.37037037037037024,0.6988235294117646,0.12225705329153608,0.10491803278688526,48.6,0.31250000000000006,0.463126843657817,1,AR1,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,ELVIS PRESLEY,LIBERTARIAN,False,TOTAL,4581,201245,False,20220331,False,0.02276329846704266,0,0,0,1,0
36,Congressional District 1 (115th Congress),AR,0.41697416974169754,0.7726161369193154,0.26564885496183205,0.012931034482758622,0.5,0.00819672131147541,0.017429193899782137,0.05,0.37037037037037024,0.6988235294117646,0.12225705329153608,0.10491803278688526,48.6,0.31250000000000006,0.463126843657817,1,AR1,2018,ARKANSAS,AR,5,71,42,US HOUSE,1,GEN,,False,RICK CRAWFORD,REPUBLICAN,False,TOTAL,138757,201245,False,20220331,False,0.689492906656066,0,1,0,1,1
37,Congressional District 2 (115th Congress),AR,0.3321033210332103,0.6968215158924205,0.33435114503816793,0.008620689655172414,1.6,0.00819672131147541,0.026143790849673203,0.06923076923076923,0.5833333333333333,0.8423529411764705,0.32915360501567403,0.28524590163934427,54.4,0.3541666666666667,0.33628318584070793,2,AR2,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,CLARKE TUCKER,DEMOCRAT,False,TOTAL,116135,253453,False,20220331,False,0.45821118708399583,1,0,0,1,0
38,Congressional District 2 (115th Congress),AR,0.3321033210332103,0.6968215158924205,0.33435114503816793,0.008620689655172414,1.6,0.00819672131147541,0.026143790849673203,0.06923076923076923,0.5833333333333333,0.8423529411764705,0.32915360501567403,0.28524590163934427,54.4,0.3541666666666667,0.33628318584070793,2,AR2,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,FRENCH HILL,REPUBLICAN,False,TOTAL,132125,253453,False,20220331,False,0.5212998070648207,0,1,0,1,1
39,Congressional District 2 (115th Congress),AR,0.3321033210332103,0.6968215158924205,0.33435114503816793,0.008620689655172414,1.6,0.00819672131147541,0.026143790849673203,0.06923076923076923,0.5833333333333333,0.8423529411764705,0.32915360501567403,0.28524590163934427,54.4,0.3541666666666667,0.33628318584070793,2,AR2,2018,ARKANSAS,AR,5,71,42,US HOUSE,2,GEN,,False,JOE RYNE SWAFFORD,LIBERTARIAN,False,TOTAL,5193,253453,False,20220331,False,0.020489005851183455,0,0,0,1,0
40,Congressional District 3 (115th Congress),AR,0.26199261992619927,0.8508557457212715,0.03969465648854962,0.04310344827586207,2.9,0.06557377049180328,0.10021786492374728,0.08846153846153847,0.5925925925925923,0.7411764705882353,0.2868338557993731,0.2327868852459017,49.1,0.5347222222222223,0.35398230088495575,3,AR3,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,JOSH MAHONY,DEMOCRAT,False,TOTAL,74952,229708,False,20220331,False,0.3262925104915806,1,0,0,1,0
41,Congressional District 3 (115th Congress),AR,0.26199261992619927,0.8508557457212715,0.03969465648854962,0.04310344827586207,2.9,0.06557377049180328,0.10021786492374728,0.08846153846153847,0.5925925925925923,0.7411764705882353,0.2868338557993731,0.2327868852459017,49.1,0.5347222222222223,0.35398230088495575,3,AR3,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,MICHAEL J KALAGIAS,LIBERTARIAN,False,TOTAL,5899,229708,False,20220331,False,0.025680429066466993,0,0,0,1,0
42,Congressional District 3 (115th Congress),AR,0.26199261992619927,0.8508557457212715,0.03969465648854962,0.04310344827586207,2.9,0.06557377049180328,0.10021786492374728,0.08846153846153847,0.5925925925925923,0.7411764705882353,0.2868338557993731,0.2327868852459017,49.1,0.5347222222222223,0.35398230088495575,3,AR3,2018,ARKANSAS,AR,5,71,42,US HOUSE,3,GEN,,False,STEVE WOMACK,REPUBLICAN,False,TOTAL,148717,229708,False,20220331,False,0.6474175910286102,0,1,0,1,1
43,Congressional District 4 (115th Congress),AR,0.45756457564575626,0.7310513447432763,0.2900763358778626,0.030172413793103453,0.6,0.0,0.05664488017429194,0.038461538461538464,0.382716049382716,0.7176470588235293,0.12382445141065834,0.10491803278688526,49.9,0.3298611111111111,0.48672566371681414,4,AR4,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,BRUCE WESTERMAN,REPUBLICAN,False,TOTAL,136740,204892,False,20220331,False,0.6673759834449369,0,1,0,1,1
44,Congressional District 4 (115th Congress),AR,0.45756457564575626,0.7310513447432763,0.2900763358778626,0.030172413793103453,0.6,0.0,0.05664488017429194,0.038461538461538464,0.382716049382716,0.7176470588235293,0.12382445141065834,0.10491803278688526,49.9,0.3298611111111111,0.48672566371681414,4,AR4,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,HAYDEN CATHERINE SHAMEL,DEMOCRAT,False,TOTAL,63984,204892,False,20220331,False,0.3122815922534799,1,0,0,1,0
45,Congressional District 4 (115th Congress),AR,0.45756457564575626,0.7310513447432763,0.2900763358778626,0.030172413793103453,0.6,0.0,0.05664488017429194,0.038461538461538464,0.382716049382716,0.7176470588235293,0.12382445141065834,0.10491803278688526,49.9,0.3298611111111111,0.48672566371681414,4,AR4,2018,ARKANSAS,AR,5,71,42,US HOUSE,4,GEN,,False,TOM CANADA,LIBERTARIAN,False,TOTAL,3952,204892,False,20220331,False,0.019288210374245943,0,0,0,1,0
46,Congressional District 1 (115th Congress),CA,0.5129151291512914,0.8716381418092909,0.016793893129770993,0.07758620689655173,2.8,0.01639344262295082,0.058823529411764705,0.15000000000000002,0.33333333333333326,0.8447058823529408,0.24764890282131669,0.2,49.8,0.482638888888889,0.40117994100294974,1,CA1,2018,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,,False,AUDREY DENNEY,DEMOCRAT,False,TOTAL,131548,291594,False,20220331,False,0.4511341111271151,1,0,0,1,0
47,Congressional District 1 (115th Congress),CA,0.5129151291512914,0.8716381418092909,0.016793893129770993,0.07758620689655173,2.8,0.01639344262295082,0.058823529411764705,0.15000000000000002,0.33333333333333326,0.8447058823529408,0.24764890282131669,0.2,49.8,0.482638888888889,0.40117994100294974,1,CA1,2018,CALIFORNIA,CA,6,93,71,US HOUSE,1,GEN,,False,DOUG LA MALFA,REPUBLICAN,False,TOTAL,160046,291594,False,20220331,False,0.5488658888728849,0,1,0,1,1
48,Congressional District 2 (115th Congress),CA,0.5867158671586714,0.7982885085574571,0.015267175572519082,0.09051724137931036,3.7,0.01639344262295082,0.15686274509803924,0.16153846153846155,0.5864197530864195,0.8658823529411763,0.5094043887147337,0.45573770491803284,54.7,0.3645833333333333,0.247787610619469,2,CA2,2018,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,,False,DALE K MENSING,REPUBLICAN,False,TOTAL,72576,315657,False,20220331,False,0.22992045162945857,0,1,1,0,0
49,Congressional District 2 (115th Congress),CA,0.5867158671586714,0.7982885085574571,0.015267175572519082,0.09051724137931036,3.7,0.01639344262295082,0.15686274509803924,0.16153846153846155,0.5864197530864195,0.8658823529411763,0.5094043887147337,0.45573770491803284,54.7,0.3645833333333333,0.247787610619469,2,CA2,2018,CALIFORNIA,CA,6,93,71,US HOUSE,2,GEN,,False,JARED HUFFMAN,DEMOCRAT,False,TOTAL,243081,315657,False,20220331,False,0.7700795483705415,1,0,1,0,1
50,Congressional District 3 (115th Congress),CA,0.2509225092250924,0.6271393643031784,0.08854961832061069,0.03879310344827586,11.2,0.04098360655737705,0.18736383442265797,0.2076923076923077,0.4228395061728394,0.7058823529411764,0.25862068965517243,0.2327868852459017,57.1,0.46180555555555564,0.33333333333333326,3,CA3,2018,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,,False,CHARLIE SCHAUPP,REPUBLICAN,False,TOTAL,97376,232251,False,20220331,False,0.4192705305897499,0,1,1,0,0
51,Congressional District 3 (115th Congress),CA,0.2509225092250924,0.6271393643031784,0.08854961832061069,0.03879310344827586,11.2,0.04098360655737705,0.18736383442265797,0.2076923076923077,0.4228395061728394,0.7058823529411764,0.25862068965517243,0.2327868852459017,57.1,0.46180555555555564,0.33333333333333326,3,CA3,2018,CALIFORNIA,CA,6,93,71,US HOUSE,3,GEN,,False,JOHN GARAMENDI,DEMOCRAT,False,TOTAL,134875,232251,False,20220331,False,0.5807294694102502,1,0,1,0,1
52,Congressional District 4 (115th Congress),CA,0.5977859778597787,0.8606356968215159,0.013740458015267177,0.03879310344827586,5,0.01639344262295082,0.058823529411764705,0.13846153846153847,0.5277777777777779,0.9247058823529408,0.38401253918495304,0.2950819672131148,38,0.2604166666666667,0.15929203539823003,4,CA4,2018,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,,False,JESSICA MORSE,DEMOCRAT,False,TOTAL,156253,340654,False,20220331,False,0.4586853522929424,1,0,0,1,0
53,Congressional District 4 (115th Congress),CA,0.5977859778597787,0.8606356968215159,0.013740458015267177,0.03879310344827586,5,0.01639344262295082,0.058823529411764705,0.13846153846153847,0.5277777777777779,0.9247058823529408,0.38401253918495304,0.2950819672131148,38,0.2604166666666667,0.15929203539823003,4,CA4,2018,CALIFORNIA,CA,6,93,71,US HOUSE,4,GEN,,False,TOM MCCLINTOCK,REPUBLICAN,False,TOTAL,184401,340654,False,20220331,False,0.5413146477070576,0,1,0,1,1
